filename,path,size_bytes,extension,last_modified,category
20260312_131400.jpg,/storage/emulated/0/DCIM/Camera/20260312_131400.jpg,4867056,jpg,1773321241000,CAMERA
20260307_103736.jpg,/storage/emulated/0/DCIM/Camera/20260307_103736.jpg,4000180,jpg,1772879856000,CAMERA
20260307_103733.jpg,/storage/emulated/0/DCIM/Camera/20260307_103733.jpg,4753110,jpg,1772879853000,CAMERA
20260305_115434.jpg,/storage/emulated/0/DCIM/Camera/20260305_115434.jpg,3183387,jpg,1772711674000,CAMERA
20260305_113611.jpg,/storage/emulated/0/DCIM/Camera/20260305_113611.jpg,3078418,jpg,1772710571000,CAMERA
20260224_124421.jpg,/storage/emulated/0/DCIM/Camera/20260224_124421.jpg,3535449,jpg,1771937061000,CAMERA
20260224_123524.jpg,/storage/emulated/0/DCIM/Camera/20260224_123524.jpg,2041263,jpg,1771936525000,CAMERA
20260224_123515.jpg,/storage/emulated/0/DCIM/Camera/20260224_123515.jpg,2044922,jpg,1771936516000,CAMERA
20260220_164016.jpg,/storage/emulated/0/DCIM/Camera/20260220_164016.jpg,2190747,jpg,1771605616000,CAMERA
20260219_122910.jpg,/storage/emulated/0/DCIM/Camera/20260219_122910.jpg,6235103,jpg,1771504150000,CAMERA
20260219_122657.jpg,/storage/emulated/0/DCIM/Camera/20260219_122657.jpg,2146503,jpg,1771504019000,CAMERA
20260219_122531.jpg,/storage/emulated/0/DCIM/Camera/20260219_122531.jpg,5448023,jpg,1771503932000,CAMERA
20260219_122504.jpg,/storage/emulated/0/DCIM/Camera/20260219_122504.jpg,5128049,jpg,1771503904000,CAMERA
20260219_122421.jpg,/storage/emulated/0/DCIM/Camera/20260219_122421.jpg,1612960,jpg,1771503862000,CAMERA
20260219_122414.jpg,/storage/emulated/0/DCIM/Camera/20260219_122414.jpg,1604473,jpg,1771503855000,CAMERA
20260219_122408.jpg,/storage/emulated/0/DCIM/Camera/20260219_122408.jpg,1913344,jpg,1771503848000,CAMERA
20260219_122403.jpg,/storage/emulated/0/DCIM/Camera/20260219_122403.jpg,1591434,jpg,1771503843000,CAMERA
20260219_122400.jpg,/storage/emulated/0/DCIM/Camera/20260219_122400.jpg,2036390,jpg,1771503842000,CAMERA
20260217_101633.jpg,/storage/emulated/0/DCIM/Camera/20260217_101633.jpg,6180741,jpg,1771323393000,CAMERA
20260217_101409.jpg,/storage/emulated/0/DCIM/Camera/20260217_101409.jpg,2162279,jpg,1771323250000,CAMERA
20260216_123849.jpg,/storage/emulated/0/DCIM/Camera/20260216_123849.jpg,4499478,jpg,1771245529000,CAMERA
20260216_123845.jpg,/storage/emulated/0/DCIM/Camera/20260216_123845.jpg,5499279,jpg,1771245525000,CAMERA
20260216_123843.jpg,/storage/emulated/0/DCIM/Camera/20260216_123843.jpg,6286365,jpg,1771245523000,CAMERA
20260216_123840.jpg,/storage/emulated/0/DCIM/Camera/20260216_123840.jpg,6369456,jpg,1771245521000,CAMERA
20260216_122540.jpg,/storage/emulated/0/DCIM/Camera/20260216_122540.jpg,4924254,jpg,1771244740000,CAMERA
20260216_122523.jpg,/storage/emulated/0/DCIM/Camera/20260216_122523.jpg,3205070,jpg,1771244723000,CAMERA
20260213_224608.jpg,/storage/emulated/0/DCIM/Camera/20260213_224608.jpg,4786589,jpg,1771019168000,CAMERA
20260213_224552.jpg,/storage/emulated/0/DCIM/Camera/20260213_224552.jpg,5038473,jpg,1771019153000,CAMERA
20260213_224540.jpg,/storage/emulated/0/DCIM/Camera/20260213_224540.jpg,5101249,jpg,1771019141000,CAMERA
20260213_224343.jpg,/storage/emulated/0/DCIM/Camera/20260213_224343.jpg,4749137,jpg,1771019023000,CAMERA
20260213_224322.jpg,/storage/emulated/0/DCIM/Camera/20260213_224322.jpg,4974456,jpg,1771019002000,CAMERA
20260213_224304.jpg,/storage/emulated/0/DCIM/Camera/20260213_224304.jpg,4750394,jpg,1771018985000,CAMERA
20260213_224302.jpg,/storage/emulated/0/DCIM/Camera/20260213_224302.jpg,4771687,jpg,1771018983000,CAMERA
20260212_190607.jpg,/storage/emulated/0/DCIM/Camera/20260212_190607.jpg,5218141,jpg,1770919570000,CAMERA
